Country,VIKOR,VIKOR dir
United States,0.004362555225553718,1.0
Austria,0.001691140462665457,-1.0
Belgium,0.0024906478130019252,-1.0
Bulgaria,0.009725918460880126,1.0
Czechia,0.005490846355430119,1.0
Denmark,0.005470869785125704,1.0
Finland,0.0025117242276030474,1.0
France,0.0008801676872938857,1.0
Germany,0.013488075628117732,1.0
Greece,2.813550627407532e-05,1.0
Hungary,0.009647943799471514,1.0
Ireland,0.0005095159979157134,1.0
Italy,0.0002551138704712052,-1.0
Lithuania,0.01386936394822542,1.0
Luxembourg,0.009872828942786335,1.0
Netherlands,0.009909919459370453,1.0
Norway,0.006900665992791117,1.0
Poland,0.019583498804370297,1.0
Portugal,0.0009916919473118497,1.0
Romania,0.015016572099655399,1.0
Slovakia,0.03978838551589115,1.0
Slovenia,0.0057422906480076785,1.0
Spain,0.0016942972612278787,1.0
Sweden,0.002408680218077264,1.0
Switzerland,0.003979864660996105,1.0
United Kingdom,0.003880012949052455,-1.0
