,Ai,Variability,dir list
0,United States,0.004362555225553718,$\downarrow$
1,Austria,0.001691140462665457,$\uparrow$
2,Belgium,0.0024906478130019252,$\uparrow$
3,Bulgaria,0.009725918460880126,$\downarrow$
4,Czechia,0.005490846355430119,$\downarrow$
5,Denmark,0.005470869785125704,$\downarrow$
6,Finland,0.0025117242276030474,$\downarrow$
7,France,0.0008801676872938857,$\downarrow$
8,Germany,0.013488075628117732,$\downarrow$
9,Greece,2.813550627407532e-05,$\downarrow$
10,Hungary,0.009647943799471514,$\downarrow$
11,Ireland,0.0005095159979157134,$\downarrow$
12,Italy,0.0002551138704712052,$\uparrow$
13,Lithuania,0.01386936394822542,$\downarrow$
14,Luxembourg,0.009872828942786335,$\downarrow$
15,Netherlands,0.009909919459370453,$\downarrow$
16,Norway,0.006900665992791117,$\downarrow$
17,Poland,0.019583498804370297,$\downarrow$
18,Portugal,0.0009916919473118497,$\downarrow$
19,Romania,0.015016572099655399,$\downarrow$
20,Slovakia,0.03978838551589115,$\downarrow$
21,Slovenia,0.0057422906480076785,$\downarrow$
22,Spain,0.0016942972612278787,$\downarrow$
23,Sweden,0.002408680218077264,$\downarrow$
24,Switzerland,0.003979864660996105,$\downarrow$
25,United Kingdom,0.003880012949052455,$\uparrow$
